       #time[s],            tag,       mass[kg],           x[m],           y[m],           z[m],        vx[m/s],        vy[m/s],        vz[m/s],      ax[m/s^2],      ay[m/s^2],      az[m/s^2]
              0,              0,            0.0,            0.2,           -0.3,            0.7,            1.5,            3.2,           -2.1,           -4.3,            5.9,          -13.1
              0,              1,            0.0,            3.1,            1.0,            1.3,            0.9,            0.4,           -0.4,           -1.4,           -0.4,           -0.5
              0,              2,            0.0,           -0.0,           -0.1,           -0.0,           -0.9,            4.1,            1.1,          -11.9,            4.9,           -2.3
              0,              3,            0.0,            0.4,           -0.0,           -0.4,           -3.3,            2.2,            1.2,           -8.6,          -11.7,           10.8
              0,              4,            0.0,            0.9,           -0.5,           -0.6,            0.2,           -0.1,           -0.2,           -5.9,            3.3,            4.6
              0,              5,            0.0,            0.1,           -0.4,            0.1,            1.3,            1.2,           -3.3,           -3.2,           14.5,          -12.5
              0,              6,            0.0,            0.1,           -0.3,           -0.1,            4.1,           -1.1,            0.2,           -1.6,           27.5,            8.1
              0,              7,            0.0,           -0.2,            0.6,            0.3,            0.9,            2.6,           -1.8,            0.7,          -13.6,           -6.3
              0,              8,            0.0,           -0.5,            0.7,           -1.2,            0.9,           -1.6,            0.3,            1.2,           -2.4,            5.3
              0,              9,            0.0,           -1.5,           -0.9,            0.4,            1.2,            0.1,            0.1,            5.5,            1.4,           -5.3
              0,             10,            0.0,           -0.3,           -1.6,           -1.2,           -2.0,           -1.7,            2.7,            0.3,            3.9,            2.1
              0,             11,            0.0,            0.0,            0.1,           -0.3,            1.8,           -4.3,           -1.2,           -1.6,           -5.9,           17.0
              0,             12,            0.0,           -0.7,            1.5,           -0.5,            1.5,           -1.4,            1.2,            2.2,           -4.9,            1.7
              0,             13,            0.0,            0.3,           -0.6,           -0.2,            1.5,            4.3,           -0.9,           -4.1,           16.1,            3.8
              0,             14,            0.0,            1.5,           -0.2,            1.3,           -1.4,            0.3,           -1.5,           -3.4,            0.7,           -2.8
              0,             15,            0.0,            1.7,           -1.2,           -1.1,           -0.6,            0.4,           -1.0,           -2.8,            1.1,            0.7
              0,             16,            0.0,            1.6,            0.7,           -0.2,           -1.3,            0.5,           -1.1,           -4.5,           -1.9,            0.9
              0,             17,            0.0,           -0.7,            0.6,           -0.6,            1.4,           -2.8,            2.7,            5.7,           -6.1,            7.4
              0,             18,            0.0,           -0.5,           -1.2,           -1.2,           -0.0,            2.4,            0.9,            1.2,            2.8,            3.3
              0,             19,            0.0,            0.0,           -1.1,           -1.0,            0.2,            0.6,            1.5,           -0.8,            4.0,            3.6
              0,             20,            0.0,           -0.1,           -0.1,           -0.1,           -3.4,           -2.2,            0.4,           -1.7,           10.9,            5.3
              0,             21,            0.0,           -0.2,           -0.1,           -0.1,           -1.9,           -3.9,           -0.0,           38.4,          -23.0,           18.5
              0,             22,            0.0,            0.2,           -0.1,           -0.4,           -3.1,            2.2,            3.5,           -9.5,            4.7,           19.7
              0,             23,            0.0,            1.1,           -0.3,            1.3,           -2.2,            0.0,           -0.6,           -2.7,            1.4,           -3.4
              0,             24,            0.0,            1.1,            1.0,           -1.0,           -1.7,           -0.4,            0.4,           -3.0,           -2.6,            3.1
              0,             25,            0.0,           -0.4,           -3.5,            2.0,            1.0,           -1.3,            1.2,            0.1,            1.0,           -0.6
              0,             26,            0.0,            0.4,           -1.7,            0.7,            0.6,            1.4,           -1.2,           -0.8,            3.6,           -1.5
              0,             27,            0.0,           -0.2,           -0.2,            0.1,            2.2,           -0.3,            2.3,           17.9,           10.3,          -25.7
              0,             28,            0.0,            0.7,           -2.2,            0.5,           -2.2,            0.4,           -0.0,           -1.1,            3.2,           -0.6
              0,             29,            0.0,            0.6,           -0.8,            0.1,           -0.7,            3.5,           -1.2,           -6.2,            8.5,           -1.9
              0,             30,            0.0,           -0.5,           -0.2,           -1.6,           -2.3,           -0.2,            1.6,            1.3,            0.2,            4.7
              0,             31,            0.0,           -0.5,           -0.7,           -0.1,           -0.5,           -0.3,           -2.7,            5.1,           10.1,            1.2
              0,             32,            0.0,            0.1,            0.2,            0.5,            3.0,           -0.1,            0.6,          -14.6,          -19.8,           -7.5
              0,             33,            0.0,           -0.3,            1.0,            1.8,           -0.8,           -2.3,           -0.5,            2.2,           -0.9,           -3.8
              0,             34,            0.0,            1.0,           -0.1,            0.2,           -3.0,           -0.6,           -0.6,           -8.0,            0.4,           -1.4
              0,             35,            0.0,            0.2,           -0.5,           -0.3,            1.4,            3.3,           -1.4,           -1.1,            9.5,           11.3
              0,             36,            0.0,           -0.1,           -0.1,           -0.1,           -1.6,            0.6,           -0.5,          -10.8,           18.3,           25.8
              0,             37,            0.0,           -0.8,           -0.1,            0.2,            2.8,           -1.5,           -1.4,           11.1,            4.6,           -2.8
              0,             38,            0.0,           -1.4,           -0.0,           -0.4,           -0.7,            2.7,           -1.7,            5.5,            1.5,            2.0
              0,             39,            0.0,            0.1,            0.2,            1.1,            0.1,           -0.9,           -2.9,           -0.7,           -0.8,           -8.6
              0,             40,            0.0,           -0.0,           -0.2,            0.5,           -0.9,            0.2,           -1.2,           -0.6,            8.1,          -11.7
