       #time[s],            tag,       mass[kg],           x[m],           y[m],           z[m],        vx[m/s],        vy[m/s],        vz[m/s],      ax[m/s^2],      ay[m/s^2],      az[m/s^2]
              0,              0,            0.1,            0.2,           -1.1,           -0.3,           -1.0,            1.0,            0.4,           -1.9,            3.9,            1.5
              0,              1,            0.1,           -0.4,           -0.0,           -0.2,           -0.8,           -0.0,            1.4,            3.1,           -0.1,            0.7
              0,              2,            0.1,           -0.3,           -0.7,           -0.4,           -2.0,            1.9,           -1.0,           -4.0,            2.3,            1.3
              0,              3,            0.1,            0.5,           -0.6,           -2.1,            0.5,            0.3,           -0.4,           -0.8,            1.0,            3.1
              0,              4,            0.1,            0.6,            0.5,           -0.6,           -1.8,           -1.7,           -1.2,           -2.7,           -1.3,            1.5
              0,              5,            0.1,            1.1,           -1.5,           -0.6,           -0.4,            0.8,           -0.4,           -1.7,            4.4,            1.7
              0,              6,            0.1,           -0.5,            0.3,           -0.7,            0.9,            1.5,           -1.2,            3.9,           -4.0,            6.6
              0,              7,            0.1,            1.3,           -1.6,            0.2,           -0.2,            1.4,           -0.5,           -1.9,            2.9,           -1.1
              0,              8,            0.1,           -1.4,            2.1,            0.4,           -0.1,            0.3,           -0.2,            1.4,           -2.4,           -0.1
              0,              9,            0.1,           -0.9,           -0.2,            1.1,            1.9,           -0.2,           -1.9,            3.5,            1.7,           -2.8
              0,             10,            0.1,           -0.2,           -1.1,            0.0,           -0.1,            0.9,           -0.7,           -0.2,            4.1,           -0.6
              0,             11,            0.1,            0.6,            0.3,            1.1,            1.0,            1.1,           -0.6,           -2.1,           -0.8,           -2.3
              0,             12,            0.1,           -0.9,           -1.2,            1.1,           -0.7,           -0.1,            0.3,            1.8,            2.7,           -4.0
              0,             13,            0.1,           -1.5,           -0.7,            0.5,            0.9,            1.8,            1.0,            4.1,            0.0,           -1.3
              0,             14,            0.1,           -0.2,            1.0,            0.1,            1.0,           -0.6,            0.7,            0.4,           -1.9,            0.2
              0,             15,            0.1,           -1.0,           -1.1,            0.2,           -0.1,            2.0,           -1.3,           -1.1,            9.4,            6.9
              0,             16,            0.1,           -1.1,           -0.4,           -0.4,           -0.7,            1.7,            1.2,            4.3,           -0.2,            1.1
              0,             17,            0.1,            0.7,            1.1,            0.4,           -1.5,            1.0,            0.8,           -2.5,           -3.1,           -1.0
              0,             18,            0.1,           -1.9,            1.0,           -0.0,            1.8,           -1.2,            1.0,            2.9,           -1.3,            0.3
              0,             19,            0.1,           -0.5,            0.2,           -0.5,           -0.4,           -0.4,            0.5,            4.0,           -1.4,           -1.4
              0,             20,            0.1,           -0.5,           -0.1,           -1.6,            0.2,            0.2,            2.2,           51.8,          -34.9,           -1.4
              0,             21,            0.1,            0.3,            0.8,            1.5,           -0.3,           -3.7,           -1.2,           -0.5,           -2.8,           -2.9
              0,             22,            0.1,           -0.9,           -1.9,            0.9,            1.1,            0.4,           -0.0,            1.2,            3.5,           -1.5
              0,             23,            0.1,           -0.5,           -1.3,            0.8,           -1.0,           -0.9,           -1.0,            1.8,            3.2,           -2.7
              0,             24,            0.1,            0.4,           -1.8,           -0.9,           -0.4,           -1.1,           -2.3,           -0.4,            3.0,            1.6
              0,             25,            0.1,           -1.0,           -0.6,           -1.0,            3.2,            2.4,           -1.2,            3.2,            0.8,            3.2
              0,             26,            0.1,            0.8,            0.3,            1.6,           -1.9,           -0.1,           -0.3,           -3.0,           -0.4,           -2.8
              0,             27,            0.1,            1.2,            1.7,            0.5,            0.5,           -0.3,           -1.5,           -1.6,           -2.6,           -0.9
              0,             28,            0.1,            0.9,            1.2,           -0.8,           -0.6,           -2.1,           -0.3,           -4.2,           -3.2,            2.1
              0,             29,            0.1,            0.0,            0.5,           -1.0,            0.5,            0.7,            1.7,            0.5,           -2.6,            4.1
              0,             30,            0.1,            0.6,            1.3,           -1.0,           -0.3,            0.0,            0.9,           -0.1,           -3.1,            3.6
              0,             31,            0.1,            0.1,           -0.6,            1.9,           -1.0,           -2.0,           -0.2,           -1.0,            1.3,           -3.0
              0,             32,            0.1,           -0.1,           -0.3,           -0.4,           -0.1,            0.5,           -0.9,           -0.1,           -0.8,            1.7
              0,             33,            0.1,            1.8,           -0.6,            0.1,           -0.1,            0.7,           -0.5,           -2.6,            0.6,            0.0
              0,             34,            0.1,           -1.0,           -0.9,            0.9,            0.9,           -0.7,           -0.5,            3.1,            0.6,           -2.4
              0,             35,            0.1,            1.2,           -0.3,           -0.1,           -1.6,           -1.2,           -0.0,           -4.2,            2.9,            4.5
              0,             36,            0.1,            1.6,            0.1,            0.2,            0.3,           -0.4,           -1.9,           -4.7,           -0.9,           -1.3
              0,             37,            0.1,            0.7,            1.1,           -0.5,           -1.3,           -2.0,           -0.9,           -1.7,           -2.5,           -0.7
              0,             38,            0.1,            1.1,           -1.5,           -1.5,            1.6,           -0.9,           -0.1,           -1.3,            1.6,            2.2
              0,             39,            0.1,           -1.4,           -1.2,           -0.6,           -0.6,           -0.5,            0.0,            3.2,            1.9,            1.5
              0,             40,            0.1,           -0.5,            0.2,            0.8,            0.1,           -0.5,            1.3,            1.8,           -0.2,            0.2
              0,             41,            0.1,            1.2,           -1.1,           -0.4,            0.7,           -0.4,           -1.6,           -5.8,            2.6,           -0.7
              0,             42,            0.1,           -0.7,           -0.8,            0.1,            0.8,           -0.5,           -0.9,            2.0,            1.1,           -0.6
              0,             43,            0.1,           -0.6,           -0.5,           -0.7,           -0.6,            1.5,            2.3,            2.9,            0.3,            4.0
              0,             44,            0.1,            0.1,            0.1,           -0.0,           -2.0,            0.6,           -0.1,           -1.9,           -1.5,           -0.3
              0,             45,            0.1,           -0.4,           -0.5,            2.0,            2.2,           -2.7,            2.4,            1.2,            0.6,           -3.4
              0,             46,            0.1,           -0.6,            1.0,           -1.8,            1.6,            1.5,            1.0,            1.2,           -1.5,            2.5
              0,             47,            0.1,            1.9,            0.6,           -1.6,           -0.0,           -1.7,            0.5,           -1.8,           -0.6,            1.5
              0,             48,            0.1,            0.9,           -1.0,           -0.4,           -0.2,            1.3,           -0.4,            2.8,            0.8,            0.5
              0,             49,            0.1,            0.2,           -0.6,            0.5,           -0.2,            0.7,           -0.2,            3.7,            3.8,           -2.9
              0,             50,            0.1,            1.0,            0.1,            0.5,            2.1,           -3.5,            1.1,           -2.6,           -1.2,           -2.6
              0,             51,            0.1,           -0.7,           -1.0,           -1.5,           -1.4,            0.4,            0.7,            1.0,            1.8,            3.0
              0,             52,            0.1,           -0.7,            0.8,            0.7,           -0.9,           -1.9,           -1.5,            2.8,           -2.8,           -1.7
              0,             53,            0.1,           -0.4,           -0.2,           -1.6,            2.0,            0.3,           -0.7,          -49.5,           34.8,            8.6
              0,             54,            0.1,           -0.8,            0.2,            1.1,            0.5,            1.3,           -2.9,            9.9,            3.3,           -0.1
              0,             55,            0.1,            0.3,            0.2,           -1.0,           -0.8,            0.3,           -2.4,           -2.7,           -0.0,            3.9
              0,             56,            0.1,            2.1,           -0.8,            0.3,           -1.2,            0.7,           -0.6,           -4.1,            1.7,           -1.2
              0,             57,            0.1,            1.3,           -1.0,           -0.7,           -1.0,            0.5,           -1.5,           -4.1,            0.6,            3.9
              0,             58,            0.1,           -0.7,           -1.9,           -2.0,           -0.1,            0.2,            1.0,            0.5,            1.6,            1.8
              0,             59,            0.1,           -0.0,            0.2,            0.8,           -0.1,           -0.6,           -1.6,           20.2,          -17.1,           19.6
              0,             60,            0.1,           -1.7,           -1.9,            0.3,           -0.2,            1.6,           -1.9,            2.1,            2.5,           -0.4
              0,             61,            0.1,            0.2,           -0.2,           -0.6,            1.1,           -0.2,            0.5,           -3.7,            0.7,            3.5
              0,             62,            0.1,           -0.1,           -0.5,           -0.3,           -0.9,           -2.6,           -1.5,           -2.3,            2.6,           -1.0
              0,             63,            0.1,            1.4,            0.4,           -0.1,           -1.5,            2.1,           -0.3,           -3.0,           -2.4,            0.6
              0,             64,            0.1,           -0.2,            0.1,           -0.6,            0.7,           -2.4,            1.1,           -0.9,           -0.6,            3.3
              0,             65,            0.1,            0.2,            0.9,            0.4,           -2.8,            0.8,            0.7,           -4.4,           -4.9,           -0.8
              0,             66,            0.1,           -0.6,            0.2,            1.2,           -2.1,           -1.8,           -0.6,           16.1,           14.1,          -17.5
