       #time[s],            tag,       mass[kg],           x[m],           y[m],           z[m],        vx[m/s],        vy[m/s],        vz[m/s],      ax[m/s^2],      ay[m/s^2],      az[m/s^2]
              0,              0,            0.1,           -0.4,            0.3,            0.1,            1.0,            1.7,            1.9,            3.1,           -7.2,            3.7
              0,              1,            0.1,           -0.0,            0.2,            0.4,            1.4,           -1.6,           -1.7,           -1.6,            5.7,          -23.6
              0,              2,            0.1,           -1.8,           -0.9,           -1.2,           -0.9,            0.1,           -0.2,            3.0,            1.4,            2.1
              0,              3,            0.1,            0.5,           -0.2,           -1.5,           -0.3,            0.8,            2.3,           -2.0,            0.0,            6.4
              0,              4,            0.1,           -0.7,           -0.5,           -0.5,           -0.9,           -0.1,            3.0,            2.3,            1.0,            5.2
              0,              5,            0.1,            0.2,            0.3,           -0.4,           -4.3,            4.3,            1.9,           -1.2,          -17.8,            6.1
              0,              6,            0.1,            0.6,           -0.0,           -0.1,           -0.5,           -3.3,            3.2,          -14.8,            2.2,           -2.8
              0,              7,            0.1,            0.3,            0.3,           -0.5,           -2.5,            2.8,            0.7,          -10.3,          -10.8,           12.5
              0,              8,            0.1,           -1.1,            1.7,            0.2,            0.9,           -1.6,           -0.4,            1.8,           -3.6,           -0.8
              0,              9,            0.1,            0.5,            0.6,           -0.6,            1.2,            2.3,           -2.6,           -4.7,          -11.6,            6.8
              0,             10,            0.1,           -0.5,            0.4,            0.1,            1.0,            1.5,            0.3,           13.9,           -8.6,           -5.7
              0,             11,            0.1,            0.4,            0.5,            0.0,           -2.2,           -1.6,           -2.8,           -8.6,          -13.0,           -2.5
              0,             12,            0.1,           -0.6,           -0.5,            0.3,            1.8,            2.4,           -2.9,            6.3,            7.3,           -9.9
              0,             13,            0.1,            0.2,            0.3,            0.0,            2.6,           -1.2,           -3.2,           -8.8,          -13.4,           -2.7
              0,             14,            0.1,            0.4,            0.0,            0.4,           -0.8,           -2.2,           -1.9,          -16.3,            4.5,           -9.1
              0,             15,            0.1,            0.7,            0.3,           -0.3,            1.3,           -0.4,           -0.0,          -12.9,           -6.4,           -0.2
              0,             16,            0.1,           -0.1,            0.3,            0.3,            4.3,           -1.7,           -0.5,           -0.6,          -25.8,          -12.1
              0,             17,            0.1,           -0.7,            0.8,            0.4,           -1.4,           -2.1,           -0.4,            5.7,           -7.8,           -4.2
              0,             18,            0.1,            0.4,           -0.3,            0.3,            3.3,           -1.5,           -1.3,           -9.2,            9.3,           -6.4
              0,             19,            0.1,           -0.2,           -0.8,            0.2,            0.2,           -0.0,            1.4,            0.4,           11.8,           -5.7
              0,             20,            0.1,            0.1,            0.3,            0.4,           -1.8,           -0.5,            3.2,          -10.5,          -16.4,          -17.6
              0,             21,            0.1,           -0.3,           -1.6,           -0.2,           -1.5,           -1.9,           -3.0,           -0.1,            6.0,           -0.3
              0,             22,            0.1,            0.0,           -0.4,            0.2,            0.9,            4.3,           -2.9,           -5.0,           15.0,           -7.3
