       #time[s],            tag,       mass[kg],           x[m],           y[m],           z[m],        vx[m/s],        vy[m/s],        vz[m/s],      ax[m/s^2],      ay[m/s^2],      az[m/s^2]
              0,              0,            0.1,           -0.5,            0.1,           -0.1,            0.6,            2.1,            1.5,            5.7,           -3.7,            4.3
              0,              1,            0.1,           -0.2,            0.3,            0.5,            2.0,           -0.8,            0.2,            0.3,          -12.2,          -12.6
              0,              2,            0.1,           -1.7,           -0.9,           -1.1,           -1.2,           -0.0,           -0.5,            3.2,            1.5,            2.4
              0,              3,            0.1,            0.6,           -0.2,           -1.7,           -0.2,            0.8,            1.7,           -1.4,            0.4,            5.0
              0,              4,            0.1,           -0.6,           -0.5,           -0.7,           -0.9,           -1.0,            1.8,            8.7,           12.0,           13.7
              0,              5,            0.1,            0.6,           -0.1,           -0.6,           -2.2,            3.4,            1.5,          -15.7,           -3.2,           24.1
              0,              6,            0.1,            0.5,            0.3,           -0.4,            1.1,           -3.2,            3.3,          -18.2,           -6.2,           16.0
              0,              7,            0.1,            0.5,           -0.1,           -0.5,           -2.7,            5.9,           -1.7,          138.5,          501.4,          261.4
              0,              8,            0.1,           -1.2,            1.8,            0.3,            0.7,           -1.3,           -0.4,            1.7,           -3.1,           -0.5
              0,              9,            0.1,            0.3,            0.3,           -0.3,            1.7,            4.0,           -3.5,           -6.0,          -27.7,           91.2
              0,             10,            0.1,           -0.6,            0.2,            0.1,           -0.2,            2.3,            0.7,           10.2,           -6.0,            0.0
              0,             11,            0.1,            0.6,            0.6,            0.3,           -1.4,           -0.6,           -2.5,           -6.7,           -7.5,           -3.7
              0,             12,            0.1,           -0.8,           -0.7,            0.6,            1.3,            1.8,           -2.2,            5.3,            5.2,           -6.1
              0,             13,            0.1,           -0.1,            0.3,            0.3,            2.6,            0.5,           -3.1,           -1.6,          -13.4,           -5.2
              0,             14,            0.1,            0.4,            0.3,            0.5,            0.5,           -2.3,           -0.8,           -8.3,           -2.0,          -10.2
              0,             15,            0.1,            0.5,            0.3,           -0.3,            2.7,            0.9,            0.2,          -17.7,          -16.3,           -7.3
              0,             16,            0.1,           -0.5,            0.4,            0.3,            3.8,           -0.1,            0.1,            6.4,          -11.0,           -4.2
              0,             17,            0.1,           -0.5,            0.9,            0.5,           -2.0,           -1.3,           -0.2,            8.6,           -6.8,           -0.1
              0,             18,            0.1,           -0.0,           -0.1,            0.4,            4.0,           -2.3,           -0.5,           -5.2,            7.4,           -8.9
              0,             19,            0.1,           -0.2,           -0.8,            0.1,            0.1,           -1.2,            1.6,            0.0,            9.8,            1.2
