       #time[s],            tag,       mass[kg],           x[m],           y[m],           z[m],        vx[m/s],        vy[m/s],        vz[m/s],      ax[m/s^2],      ay[m/s^2],      az[m/s^2]
              0,              0,            0.1,            0.1,           -1.0,           -0.3,           -1.2,            1.5,            0.5,           -3.5,            5.1,            1.6
              0,              1,            0.1,           -0.5,           -0.0,           -0.0,           -0.5,           -0.0,            1.4,            3.7,            0.2,            0.2
              0,              2,            0.1,           -0.6,           -0.7,           -0.6,           -3.3,           -0.9,           -1.9,            3.0,            3.6,            4.1
              0,              3,            0.1,            0.5,           -0.5,           -2.1,            0.4,            0.4,           -0.1,           -0.9,            0.9,            3.1
              0,              4,            0.1,            0.4,            0.3,           -0.7,           -2.2,           -1.8,           -1.0,           -3.5,           -0.5,            2.0
              0,              5,            0.1,            1.0,           -1.3,           -0.6,           -0.5,            1.3,           -0.2,           -0.7,            5.5,            1.6
              0,              6,            0.1,           -0.4,            0.5,           -0.8,            1.2,            1.2,           -0.7,            3.0,           -2.7,            3.9
              0,              7,            0.1,            1.2,           -1.4,            0.1,           -0.4,            1.7,           -0.6,           -2.1,            3.1,           -1.1
              0,              8,            0.1,           -1.4,            2.1,            0.4,           -0.0,            0.0,           -0.2,            1.4,           -2.4,           -0.2
              0,              9,            0.1,           -0.7,           -0.2,            0.9,            2.2,            0.1,           -2.2,            3.2,            3.4,           -2.4
              0,             10,            0.1,           -0.2,           -1.0,           -0.1,           -0.1,            1.3,           -0.8,           -0.3,            4.6,           -1.3
              0,             11,            0.1,            0.7,            0.4,            1.1,            0.8,            1.0,           -0.8,           -3.2,           -1.7,           -1.7
              0,             12,            0.1,           -0.9,           -1.2,            1.1,           -0.5,            0.2,           -0.1,            2.2,            2.8,           -4.3
              0,             13,            0.1,           -1.4,           -0.5,            0.6,            1.3,            1.8,            0.8,            4.3,            0.4,           -1.7
              0,             14,            0.1,           -0.1,            1.0,            0.2,            1.0,           -0.7,            0.9,           -0.1,           -0.8,            3.3
              0,             15,            0.1,           -0.9,           -0.9,            0.1,            1.8,            2.4,           -0.6,            7.5,           -2.2,           -5.9
              0,             16,            0.1,           -1.2,           -0.2,           -0.3,           -0.2,            1.7,            1.3,            4.8,           -0.3,            1.2
              0,             17,            0.1,            0.6,            1.1,            0.4,           -1.7,            0.7,            0.7,           -2.5,           -3.3,           -1.5
              0,             18,            0.1,           -1.7,            0.9,            0.1,            2.1,           -1.4,            1.0,            3.8,           -1.5,            0.2
              0,             19,            0.1,           -0.5,            0.2,           -0.5,            0.0,           -0.6,            0.6,            3.9,           -2.8,            2.4
              0,             20,            0.1,           -0.4,           -0.2,           -1.5,            1.4,           -0.1,            1.7,            2.6,            1.1,           -0.1
              0,             21,            0.1,            0.3,            0.4,            1.3,           -0.4,           -3.9,           -1.6,            0.5,           -1.9,           -2.9
              0,             22,            0.1,           -0.8,           -1.8,            0.9,            1.3,            0.8,           -0.2,            1.1,            4.1,           -1.7
              0,             23,            0.1,           -0.6,           -1.4,            0.7,           -0.9,           -0.5,           -1.2,            1.2,            3.7,           -1.5
              0,             24,            0.1,            0.4,           -1.9,           -1.2,           -0.5,           -0.8,           -2.1,           -0.4,            2.7,            1.6
              0,             25,            0.1,           -0.7,           -0.4,           -1.1,            3.5,            2.5,           -0.8,            2.9,            0.8,            3.6
              0,             26,            0.1,            0.6,            0.3,            1.5,           -2.2,           -0.1,           -0.7,           -3.0,           -0.4,           -3.6
              0,             27,            0.1,            1.3,            1.7,            0.4,            0.3,           -0.5,           -1.6,           -1.5,           -2.7,           -0.8
              0,             28,            0.1,            0.8,            1.0,           -0.8,           -1.1,           -2.4,           -0.1,           -5.0,           -2.2,            2.9
              0,             29,            0.1,            0.1,            0.5,           -0.8,            0.5,            0.5,            2.1,            0.3,           -2.4,            3.3
              0,             30,            0.1,            0.6,            1.2,           -0.9,           -0.3,           -0.4,            1.2,           -0.7,           -5.4,            2.9
              0,             31,            0.1,           -0.1,           -0.8,            1.9,           -1.1,           -1.9,           -0.4,           -0.7,            1.5,           -2.0
              0,             32,            0.1,           -0.1,           -0.2,           -0.5,           -0.3,            0.7,           -0.9,           -3.4,           12.7,           -8.4
              0,             33,            0.1,            1.7,           -0.6,            0.1,           -0.4,            0.7,           -0.5,           -2.1,           -0.6,            0.9
              0,             34,            0.1,           -0.9,           -0.9,            0.8,            1.2,           -0.6,           -0.7,            2.8,            1.1,           -2.0
              0,             35,            0.1,            1.0,           -0.4,           -0.0,           -2.1,           -0.8,            0.2,           -5.0,            3.4,            0.8
