       #time[s],            tag,       mass[kg],           x[m],           y[m],           z[m],        vx[m/s],        vy[m/s],        vz[m/s],      ax[m/s^2],      ay[m/s^2],      az[m/s^2]
              0,             51,            0.1,           -1.2,           -0.8,           -0.9,           -0.8,            0.9,            2.3,            1.5,            0.1,            2.8
              0,             52,            0.1,           -0.7,           -0.1,           -0.0,            1.4,           -2.6,           -1.8,            6.4,            4.9,            1.5
              0,             53,            0.1,            0.1,            0.1,           -1.1,            1.7,            1.0,            2.9,           -1.1,            1.5,            8.8
              0,             54,            0.1,           -0.2,            0.3,           -0.1,            1.8,           -0.8,           -3.5,            8.3,           -0.9,           -4.6
              0,             55,            0.1,           -0.1,            0.2,           -1.6,           -0.6,           -0.9,            0.3,            0.9,            0.3,            9.1
              0,             56,            0.1,            1.4,           -0.3,           -0.1,           -1.5,            1.1,           -0.8,           -8.2,           -1.9,           -0.1
              0,             57,            0.1,            0.7,           -0.8,           -0.9,           -1.7,            0.7,            0.5,           -0.1,            3.6,            5.2
              0,             58,            0.1,           -0.7,           -1.7,           -1.4,            0.2,            1.0,            1.9,            1.0,            2.6,            2.3
              0,             59,            0.1,           -0.3,           -0.3,            0.1,           -1.0,           -1.1,           -3.7,           -1.0,           -0.5,          -11.3
              0,             60,            0.1,           -1.5,           -1.1,           -0.5,            1.5,            2.4,           -2.2,            7.1,           -2.2,            2.5
              0,             61,            0.1,            0.3,           -0.2,           -0.2,           -1.0,            0.5,            0.7,           -9.1,           -1.8,          -14.0
              0,             62,            0.1,           -0.5,           -1.3,           -0.7,           -0.9,           -1.0,           -0.6,            5.2,            6.5,            1.5
              0,             63,            0.1,            0.5,            1.0,           -0.2,           -3.3,            1.0,           -0.6,           -3.0,           -6.7,           -1.5
              0,             64,            0.1,           -0.4,           -0.5,            0.0,           -0.2,           -0.6,            1.4,            6.1,            9.8,           -4.1
              0,             65,            0.1,           -1.0,            0.8,            0.5,           -2.8,           -1.3,           -0.3,            3.0,           -7.6,           -2.0
              0,             66,            0.1,           -0.9,           -0.3,            0.4,            0.2,           -0.3,           -2.7,            5.0,            4.8,           -2.5
              0,             67,            0.1,           -1.0,            0.6,            0.2,            1.6,           -2.0,            0.5,            5.1,           -7.2,            2.0
